user_id,user_type,signup_date,first_visit_date,last_active_date,institution_or_company,country,traffic_source,device_type,total_sessions,total_pageviews,avg_session_duration_sec,papers_analyzed,reports_downloaded,used_crs_score,used_gap_analysis,used_industry_fit,used_comparison_tool,used_pitch_export,used_due_diligence,used_ip_patent_check,converted_to_paid,plan_purchased,payment_amount_inr,days_to_conversion,payment_date,churned,support_tickets_raised
usr_b797b9c148,researcher,2026-03-22,2026-03-22,2026-03-23,Anna University,India,referral,desktop,10,40,107,4,2,True,True,True,False,False,,,False,none,0,,,False,0
usr_b66d631bd8,researcher,2026-01-11,2026-01-11,2026-01-16,IIT Hyderabad,UAE,direct,desktop,13,91,94,3,1,True,True,False,True,False,,,False,none,0,,,False,1
usr_bb9c9f4de4,researcher,2026-06-02,2026-06-02,2026-07-22,IIT Bombay,India,direct,mobile,5,15,104,3,1,True,True,False,False,False,,,False,none,0,,,False,0
usr_7402ffe171,industry,2026-03-20,2026-03-20,2026-06-10,GreenGrid Energy,India,industry_event,desktop,17,85,495,9,2,,,True,False,True,True,False,False,none,0,,,False,0
usr_5204cbd21c,industry,2026-05-27,2026-05-27,2026-06-14,Bharat Semiconductors,India,organic_search,desktop,9,54,86,7,0,,,True,False,True,False,True,False,none,0,,,False,1
usr_994b3b305d,researcher,2026-05-28,2026-05-28,2026-06-05,IIT Roorkee,India,university_partner,desktop,11,88,185,3,3,True,True,True,False,False,,,False,none,0,,,False,0
usr_2b4ab80b06,researcher,2026-05-07,2026-05-07,2026-05-11,IIT Roorkee,UAE,google_ads,desktop,1,7,186,5,4,True,True,False,False,False,,,False,none,0,,,True,0
usr_d2b11e0014,researcher,2026-06-28,2026-06-28,2026-07-16,Delhi University,India,linkedin,desktop,4,28,99,4,4,True,True,True,False,False,,,False,none,0,,,False,0
usr_71f3fa54ba,researcher,2026-06-04,2026-06-04,2026-07-05,Independent Researcher,India,organic_search,desktop,5,30,282,2,2,True,False,True,True,False,,,False,none,0,,,False,0
usr_b4a7260a43,industry,2026-05-18,2026-05-18,2026-05-23,IronClad Defense Systems,India,linkedin,desktop,13,52,234,12,1,,,True,True,True,True,True,False,none,0,,,True,0
usr_fa07e1a061,researcher,2026-05-04,2026-05-04,2026-06-20,IIT Bombay,India,university_partner,desktop,3,15,156,1,0,True,False,True,True,False,,,False,none,0,,,False,0
usr_6fdb46770d,researcher,2026-07-07,2026-07-07,2026-07-16,BITS Pilani,India,word_of_mouth,desktop,10,30,43,3,0,True,True,False,False,False,,,False,none,0,,,False,0
usr_c93d2f0aa4,industry,2026-02-22,2026-02-22,2026-07-18,AgroFuture Labs,India,linkedin,mobile,9,99,155,8,3,,,True,True,False,False,False,False,none,0,,,False,1
usr_76458c5c75,industry,2026-04-22,2026-04-22,2026-05-09,AgroFuture Labs,Germany,referral,mobile,5,45,337,10,0,,,True,True,False,False,True,False,none,0,,,True,0
usr_8027e05529,industry,2026-07-17,2026-07-17,2026-07-24,DeepCore AI,India,industry_event,desktop,1,4,388,14,5,,,True,True,False,True,True,False,none,0,,,False,1
usr_79c099ef1f,researcher,2026-02-04,2026-02-04,2026-03-24,IIT Madras,India,referral,mobile,8,32,52,0,0,False,True,False,False,False,,,False,none,0,,,False,0
usr_0341dec594,researcher,2026-04-30,2026-04-30,2026-05-07,Independent Researcher,India,email_campaign,mobile,7,63,102,1,1,True,False,False,False,False,,,False,none,0,,,True,0
